,exp_risk,exp_return,esg_score
INCY,0.2615741029027983,0.12382569362424918,0.2412
ILMN,0.4900400672851377,0.6653086112060042,0.109
IFF,0.36743322980977033,0.3517812036496399,0.2231
IEX,0.2412952714020653,0.06253545170799271,0.2682
FLT,0.3169369809737124,0.045702394051932875,0.18109999999999998
IDXX,0.37308690219821433,0.2610857882040425,0.1945
IBM,0.20431996700555743,-0.1381054113878745,0.1477
HUM,0.3004264711153187,-0.0629090684310583,0.2237
HUBB,0.287132912099818,-0.1908629552121225,0.2529
HSY,0.19082588146956944,-0.05845694197120606,0.2743
HST,0.3535589870669084,0.02225400486754046,0.1394
HSIC,0.23977462989002785,0.07165954862531586,0.13369999999999999
HRL,0.21596537622657577,0.12302158083361883,0.2991
HPQ,0.3544136966408987,0.05679225359960328,0.1093
HPE,0.32144348471335704,-0.03733748158949067,0.11939999999999999
HON,0.22195471619650015,0.09138221509207026,0.29309999999999997
HOLX,0.24086769875257447,0.0502981812498789,0.2824
HLT,0.3188691544997681,-0.015987896730650406,0.1744
ICE,0.23776689796077055,0.10954840866809586,0.1634
ZION,0.5205208412947544,0.3413926214439317,0.48729999999999996
FITB,0.3649444236729657,0.2790475826025092,0.1744
EFX,0.3406001819921,0.2515398628303392,0.2576
ED,0.20077646280433675,-0.11641499966620095,0.2309
ECL,0.28668047623719867,0.1588691690845026,0.2409
EBAY,0.33439941208947993,0.3279716655211796,0.1711
EA,0.24472086103394294,0.0631493119451466,0.1036
DXCM,0.4766161838024961,0.3330657922156455,0.237
DVN,0.47394923245526144,-0.12858710849722338,0.3669
DVA,0.425813425159835,0.15496457877286932,0.2256
DUK,0.19978211160056572,0.028974910746409593,0.2763
DTE,0.2052074689259269,0.03826375825658222,0.3009
DRI,0.28636600073344437,-0.014646880268163872,0.2799
DPZ,0.3227849681455805,0.16060044089618886,0.3102
DOV,0.2612421125210005,0.11843956436884723,0.2527
DLTR,0.3817657956955125,0.008923819624800648,0.1487
DLR,0.326982209037299,0.09508491906576276,0.1261
DIS,0.3260884043050921,0.38261712641321294,0.14880000000000002
DHR,0.2960132254933477,0.17175747513002268,0.1173
DHI,0.3690154381001687,-0.07030769801967159,0.21739999999999998
DGX,0.2295254686828074,0.03811445081560733,0.20980000000000001
DG,0.3423367122578055,0.29172356832628094,0.1736
DFS,0.3822046378656146,0.15358720221015207,0.2257
DE,0.31881557793860593,-0.027614173883224725,0.1664
DD,0.2937306421803339,-0.02639164875246789,0.2895
DAL,0.4065934322887877,0.12184605292026651,0.2613
D,0.23206557839053735,0.265815572531986,0.25379999999999997
EIX,0.24302998237694112,-0.04707698384400476,0.2743
EL,0.3799475956252833,0.43570179861218816,0.2591
ELV,0.262099567052791,-0.03578854900844469,0.49329999999999996
FFIV,0.3108380274348079,0.17702843252308156,0.1918
FE,0.216339052153052,-0.002859680656740313,0.29510000000000003
FDX,0.36025442842370375,-0.0032935681496669665,0.2045
FDS,0.253744458712583,-0.0019201023282708124,0.20440000000000003
FCX,0.4572031073547362,0.04866802797737689,0.3194
FAST,0.25683358145165774,-0.02910706258729224,0.264
F,0.42617975436283717,0.17013508654609283,0.2995
EXR,0.31105784644280543,0.2798947175302648,0.1408
EXPE,0.48461242599382726,0.2853671329428795,0.257
EXPD,0.28439413982789097,0.06346519591954716,0.1582
EXC,0.22488403568813356,-0.04190116957523869,0.2439
FIS,0.4252521376333051,0.4078372589983537,0.1808
EW,0.35309383269880523,0.308133541624068,0.19329999999999997
ETSY,0.6462422511222917,0.688088899169859,0.6451
ETR,0.23129492278683292,0.01376117845055872,0.2957
ETN,0.27584966028493935,-0.11066709601734896,0.17850000000000002
ESS,0.25920799289865026,0.205031559593047,0.1233
ES,0.2331225250417249,0.19321598919067837,0.1873
EQT,0.49340609382425443,-0.3836162828550895,0.3664
EQR,0.24560924357730451,0.1745874243556555,0.1116
EQIX,0.30822628842765265,0.054210949344609245,0.11789999999999999
EOG,0.38983089823656036,-0.22497317610607312,0.3625
EMR,0.25148486069526177,0.027113438221362442,0.29469999999999996
EMN,0.32346285719923357,0.1711807125964648,0.24600000000000002
ZTS,0.284176577812272,0.14497218683581295,0.18469999999999998
